User ID,session_id,Timestamp,Event Name,Event Parameters,Campaign ID,Stream Name,Page URL,Country,Is Conversion
00001,00001,1782383278000,landing_page,"{""page_title"": ""Contact""}",META_XYZ_REELS_AWARENESS_US_FLORIDA_SUMMER,XYZ Ecommerce,www.xyz.com/contact,US,False
00001,00001,1782383360035,page_view,"{""page_title"": ""Contact""}",,XYZ Ecommerce,www.xyz.com/contact,US,False
00001,00001,1782383409649,contact_us_form,"{""form_id"": ""contact_us"", ""form_name"": ""Contact Us"", ""page_title"": ""Contact""}",,XYZ Ecommerce,www.xyz.com/contact,US,True
00002,00001,1777989236000,landing_page,"{""page_title"": ""Contact""}",META_XYZ_REELS_AWARENESS_US_FLORIDA_SUMMER,XYZ Ecommerce,www.xyz.com/contact,US,False
00002,00001,1777989285771,page_view,"{""page_title"": ""Contact""}",,XYZ Ecommerce,www.xyz.com/contact,US,False
00002,00001,1777989348040,contact_us_form,"{""form_id"": ""contact_us"", ""form_name"": ""Contact Us"", ""page_title"": ""Contact""}",,XYZ Ecommerce,www.xyz.com/contact,US,True
00002,00002,1779878952000,landing_page,"{""page_title"": ""PDP""}",META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,XYZ Ecommerce,www.xyz.com/shoes/1234,US,False
00002,00002,1779878977241,page_view,"{""page_title"": ""PDP""}",,XYZ Ecommerce,www.xyz.com/shoes/1234,US,False
00002,00002,1779879064618,scroll,"{""percent_scrolled"": 75}",,XYZ Ecommerce,www.xyz.com/shoes/1234,US,False
00002,00002,1779879102884,search,"{""search_term"": ""shoes""}",,XYZ Ecommerce,www.xyz.com/search,US,False
00002,00002,1779879157973,view_item,"{""item_id"": 1234, ""item_name"": ""shoes"", ""brand"": ""Forerver21"", ""price"": 1000, ""discount"": 200}",,XYZ Ecommerce,www.xyz.com/shoes/1234,US,False
00002,00002,1779879228442,select_item,"{""item_id"": 1234, ""item_name"": ""shoes""}",,XYZ Ecommerce,www.xyz.com/shoes/1234,US,False
00002,00002,1779879254017,add_to_cart,"{""item_id"": 1234, ""item_name"": ""shoes"", ""brand"": ""Forerver21"", ""price"": 1000, ""discount"": 200, ""quantity"": 1, ""value"": 800, ""currency"": ""USD""}",,XYZ Ecommerce,www.xyz.com/cart,US,False
